Timestamp,Left Pupil,Right Pupil
15:02:09.146287,"(196, 165)","(262, 162)"
15:02:09.351933,"(199, 165)","(265, 162)"
15:02:09.555745,"(202, 166)","(267, 162)"
15:02:09.759687,"(204, 164)","(268, 161)"
15:02:09.937822,"(205, 163)","(270, 160)"
15:02:10.130388,"(199, 164)","(265, 161)"
15:02:10.301060,"(192, 163)","(261, 161)"
15:02:10.487521,"(194, 162)","(262, 160)"
15:02:10.675916,"(196, 161)","(263, 159)"
15:02:10.891989,"(198, 162)","(265, 160)"
15:02:11.064039,"(200, 163)","(266, 161)"
15:02:11.267853,"(199, 164)","(265, 162)"
15:02:11.471088,"(190, 164)","(258, 162)"
15:02:11.658901,"(182, 165)","(251, 164)"
15:02:11.859078,"(179, 165)","(248, 164)"
15:02:12.023631,"(178, 165)","(248, 165)"
15:02:12.226168,"(179, 165)","(247, 165)"
15:02:12.397830,"(179, 165)","(247, 165)"
15:02:12.614652,,
15:02:12.817616,"(179, 166)","(247, 165)"
15:02:13.000208,"(179, 166)","(247, 165)"
15:02:13.207250,"(180, 165)","(248, 164)"
15:02:13.441147,"(180, 163)","(249, 162)"
15:02:13.642674,"(178, 160)","(246, 159)"
15:02:13.857308,,
15:02:14.072246,,
15:02:14.271108,"(173, 164)","(241, 163)"
15:02:14.474926,"(176, 161)","(244, 161)"
15:02:14.661878,"(179, 160)","(246, 160)"
15:02:14.863648,"(182, 160)","(249, 159)"
15:02:15.065702,"(183, 160)","(249, 160)"
15:02:15.282963,"(183, 159)","(250, 158)"
15:02:15.497151,"(184, 159)","(251, 158)"
15:02:15.699888,"(183, 158)","(250, 157)"
15:02:15.918081,"(183, 158)","(251, 157)"
15:02:16.119269,"(184, 158)","(250, 156)"
15:02:16.318852,"(182, 158)","(249, 157)"
15:02:16.533807,"(178, 159)","(246, 158)"
15:02:16.737137,"(178, 165)","(243, 164)"
15:02:16.956324,,
15:02:17.153495,,
15:02:17.358688,,
15:02:17.543791,,
15:02:17.725108,,
15:02:17.913184,,
15:02:18.114467,,
15:02:18.317800,,
15:02:18.504741,"(176, 160)","(245, 162)"
15:02:18.708723,,
15:02:18.910061,,
15:02:19.098756,,
15:02:19.293430,,
15:02:19.485729,,
15:02:19.673469,,
15:02:19.874702,"(180, 166)","(248, 165)"
15:02:20.043022,"(180, 164)","(248, 164)"
15:02:20.242517,,
15:02:20.429772,,
15:02:20.615729,,
15:02:20.819013,"(183, 164)","(251, 162)"
15:02:20.988809,,
15:02:21.174903,,
15:02:21.362733,"(183, 163)","(251, 163)"
15:02:21.567153,"(183, 163)","(252, 161)"
15:02:21.739003,,
15:02:21.948186,"(176, 159)","(244, 159)"
15:02:22.132062,,
15:02:22.337781,,
15:02:22.540266,,
15:02:22.727302,,
15:02:22.941993,,
15:02:23.128075,,
15:02:23.327750,,
15:02:23.537499,,
15:02:23.744898,,
15:02:23.962359,,
15:02:24.165399,"(170, 160)","(237, 161)"
15:02:24.366813,"(170, 160)","(237, 161)"
15:02:24.562007,,
15:02:24.757102,,
15:02:24.956015,,
15:02:25.172361,,
15:02:25.374097,,
15:02:25.575775,,
15:02:25.791114,,
15:02:25.957945,,
15:02:26.165865,,
15:02:26.366744,,
15:02:26.552169,,
15:02:26.753613,,
15:02:26.939012,,
15:02:27.137951,,
15:02:27.347403,,
15:02:27.537081,,
15:02:27.742847,,
15:02:27.960617,,
15:02:28.163974,,
15:02:28.366767,,
15:02:28.552609,,
15:02:28.750964,,
15:02:28.928625,,
15:02:29.107478,,
15:02:29.297763,,
15:02:29.493908,"(168, 161)","(235, 163)"
15:02:29.713775,,
15:02:29.929758,,
15:02:30.132888,,
15:02:30.333067,,
15:02:30.502652,,
15:02:30.707091,,
15:02:30.899834,,
15:02:31.094782,,
15:02:31.294706,,
15:02:31.510671,,
15:02:31.712259,,
15:02:31.897661,,
15:02:32.099079,,
15:02:32.287128,,
15:02:32.484042,,
15:02:32.672406,,
15:02:32.888896,,
15:02:33.079329,,
15:02:33.260985,"(173, 160)","(241, 161)"
15:02:33.477579,,
15:02:33.680870,"(172, 162)","(241, 163)"
15:02:33.893522,"(173, 161)","(240, 162)"
15:02:34.096707,,
15:02:34.267841,,
15:02:34.470671,,
15:02:34.670862,"(174, 161)","(242, 162)"
15:02:34.844061,,
15:02:35.059793,,
15:02:35.259275,,
15:02:35.445911,,
15:02:35.632072,"(169, 161)","(237, 164)"
15:02:35.815245,,
15:02:36.020115,,
15:02:36.235978,,
15:02:36.424495,,
15:02:36.641464,"(179, 162)","(247, 163)"
15:02:36.842001,"(179, 161)","(247, 162)"
15:02:37.018010,,
15:02:37.217679,,
15:02:37.419583,,
15:02:37.603419,,
15:02:37.802400,,
15:02:38.023047,,
15:02:38.224741,,
15:02:38.412403,,
15:02:38.598956,,
15:02:38.766704,,
15:02:38.956204,,
15:02:39.152862,,
15:02:39.362967,,
15:02:39.563662,,
15:02:39.764081,,
15:02:39.967609,,
15:02:40.169831,,
15:02:40.341891,"(180, 162)","(248, 162)"
15:02:40.553332,,
15:02:40.772747,,
15:02:40.977755,,
15:02:41.177305,,
15:02:41.356037,,
15:02:41.564787,,
15:02:41.734994,,
15:02:41.931919,,
15:02:42.122969,,
15:02:42.308727,,
15:02:42.477939,,
15:02:42.665383,"(176, 163)","(244, 163)"
15:02:42.835170,,
15:02:43.017924,"(177, 161)","(245, 161)"
15:02:43.193201,"(176, 162)","(244, 162)"
15:02:43.394072,"(175, 162)","(243, 162)"
15:02:43.579450,"(175, 162)","(242, 162)"
15:02:43.795358,"(175, 162)","(242, 162)"
15:02:43.985701,"(175, 163)","(241, 163)"
15:02:44.184823,"(173, 163)","(241, 162)"
15:02:44.382183,"(173, 163)","(240, 162)"
15:02:44.565875,,
15:02:44.768925,,
15:02:44.987520,"(174, 164)","(242, 164)"
15:02:45.187067,"(174, 164)","(242, 162)"
15:02:45.392739,"(175, 163)","(243, 162)"
15:02:45.570415,,
15:02:45.775346,,
15:02:45.960431,"(174, 164)","(240, 164)"
15:02:46.117339,"(176, 164)","(242, 164)"
15:02:46.315826,"(176, 163)","(243, 164)"
15:02:46.501185,"(177, 165)","(245, 166)"
15:02:46.689647,"(176, 164)","(243, 164)"
15:02:46.876794,"(173, 164)","(241, 164)"
15:02:47.047428,"(174, 165)","(242, 166)"
15:02:47.228971,"(174, 167)","(242, 167)"
15:02:47.407665,"(175, 167)","(244, 169)"
15:02:47.595067,"(177, 167)","(245, 168)"
15:02:47.775268,"(177, 166)","(245, 167)"
15:02:47.968964,"(176, 166)","(244, 168)"
15:02:48.153478,"(177, 166)","(244, 168)"
15:02:48.347766,"(181, 165)","(249, 166)"
15:02:48.537475,"(181, 166)","(249, 167)"
15:02:48.739084,"(178, 164)","(246, 164)"
15:02:48.937024,"(177, 167)","(246, 167)"
15:02:49.108727,"(177, 168)","(245, 168)"
15:02:49.279144,"(173, 167)","(242, 167)"
15:02:49.466149,"(172, 167)","(240, 167)"
15:02:49.648835,"(171, 166)","(239, 167)"
15:02:49.854012,"(171, 167)","(239, 166)"
15:02:50.037933,"(172, 168)","(239, 167)"
15:02:50.238846,"(172, 168)","(240, 167)"
15:02:50.411138,"(172, 167)","(240, 167)"
15:02:50.621404,"(174, 164)","(242, 165)"
15:02:50.816393,"(174, 164)","(242, 165)"
15:02:51.003638,"(170, 167)","(239, 166)"
15:02:51.205045,"(170, 166)","(238, 166)"
15:02:51.407797,"(170, 167)","(239, 166)"
15:02:51.580605,"(171, 166)","(239, 166)"
