Timestamp,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral
1690920831.814303,0.1,0.0,0.04,0.01,0.28,0.02,0.55
1690920832.012307,0.09,0.0,0.05,0.01,0.28,0.07,0.5
1690920832.216306,0.07,0.0,0.06,0.0,0.33,0.02,0.52
1690920832.430827,0.13,0.0,0.08,0.0,0.37,0.01,0.41
1690920832.628343,0.16,0.0,0.06,0.0,0.2,0.05,0.53
1690920832.833341,0.05,0.0,0.03,0.01,0.25,0.04,0.62
1690920833.044343,0.1,0.0,0.08,0.0,0.3,0.02,0.5
1690920833.238345,0.1,0.0,0.03,0.0,0.26,0.03,0.58
1690920833.440346,0.06,0.0,0.03,0.0,0.16,0.02,0.73
1690920833.64835,0.1,0.0,0.04,0.0,0.14,0.03,0.68
1690920833.84435,0.12,0.0,0.04,0.0,0.26,0.03,0.54
1690920834.04835,0.05,0.0,0.04,0.01,0.23,0.01,0.66
1690920834.248353,0.06,0.0,0.07,0.0,0.22,0.04,0.62
1690920834.465353,0.08,0.0,0.07,0.0,0.24,0.02,0.58
1690920834.661357,0.12,0.0,0.06,0.0,0.25,0.02,0.54
1690920834.860357,0.13,0.0,0.05,0.0,0.22,0.04,0.57
1690920835.052359,0.12,0.0,0.08,0.0,0.3,0.02,0.47
1690920835.248359,0.14,0.0,0.05,0.0,0.34,0.02,0.44
1690920835.450359,0.18,0.0,0.05,0.0,0.32,0.01,0.44
1690920835.640365,0.15,0.0,0.06,0.0,0.25,0.02,0.51
1690920835.841363,0.1,0.0,0.06,0.0,0.2,0.07,0.57
1690920836.049364,0.13,0.0,0.08,0.0,0.28,0.04,0.47
1690920836.247365,0.11,0.01,0.08,0.0,0.29,0.08,0.43
1690920836.452367,0.06,0.0,0.03,0.01,0.3,0.05,0.55
1690920836.659372,0.05,0.0,0.03,0.0,0.24,0.05,0.61
1690920836.858372,0.07,0.0,0.03,0.01,0.35,0.03,0.51
1690920837.056373,0.11,0.0,0.07,0.0,0.29,0.03,0.49
1690920837.255374,0.07,0.0,0.04,0.0,0.14,0.06,0.69
1690920837.467374,0.1,0.0,0.07,0.0,0.22,0.02,0.59
1690920837.661376,0.06,0.0,0.04,0.0,0.35,0.02,0.52
1690920837.85443,0.06,0.0,0.04,0.0,0.26,0.04,0.59
1690920838.060429,0.07,0.0,0.04,0.0,0.26,0.01,0.62
1690920838.258431,0.07,0.0,0.09,0.0,0.13,0.04,0.67
1690920838.462433,0.07,0.0,0.11,0.0,0.17,0.07,0.58
1690920838.657434,0.11,0.0,0.1,0.0,0.14,0.1,0.54
1690920838.870436,0.04,0.0,0.05,0.0,0.17,0.03,0.71
1690920839.109438,0.09,0.0,0.05,0.0,0.28,0.03,0.55
1690920839.32344,0.05,0.0,0.07,0.0,0.17,0.06,0.65
1690920839.558445,0.12,0.0,0.06,0.0,0.22,0.05,0.54
1690920839.768442,0.02,0.0,0.05,0.01,0.14,0.01,0.76
1690920839.984445,0.09,0.0,0.09,0.0,0.13,0.09,0.6
1690920840.192477,0.08,0.0,0.03,0.0,0.18,0.01,0.69
1690920840.396482,0.09,0.0,0.11,0.0,0.19,0.04,0.57
1690920840.603483,0.04,0.0,0.06,0.0,0.25,0.01,0.63
1690920840.800482,0.03,0.0,0.05,0.0,0.21,0.01,0.7
1690920841.023482,0.04,0.0,0.05,0.0,0.18,0.02,0.71
1690920841.216486,0.17,0.01,0.08,0.0,0.31,0.02,0.4
1690920841.420487,0.21,0.0,0.08,0.0,0.31,0.02,0.39
1690920841.619489,0.11,0.0,0.08,0.0,0.35,0.01,0.44
1690920841.824489,0.03,0.0,0.03,0.0,0.13,0.01,0.8
1690920842.027543,0.21,0.0,0.04,0.0,0.15,0.02,0.58
1690920842.216546,0.06,0.0,0.09,0.0,0.2,0.02,0.62
1690920842.417547,0.16,0.0,0.08,0.0,0.22,0.03,0.5
1690920842.626549,0.14,0.0,0.07,0.0,0.19,0.07,0.52
1690920842.823551,0.12,0.0,0.09,0.0,0.23,0.09,0.46
1690920843.039552,0.07,0.0,0.07,0.0,0.21,0.03,0.62
1690920843.237553,0.05,0.0,0.04,0.0,0.21,0.02,0.68
1690920843.438554,0.06,0.0,0.11,0.0,0.14,0.07,0.61
1690920843.640554,0.09,0.0,0.06,0.0,0.15,0.01,0.69
1690920843.840555,0.05,0.0,0.1,0.01,0.24,0.04,0.57
1690920844.050558,0.05,0.0,0.1,0.01,0.18,0.03,0.63
1690920844.244563,0.04,0.0,0.07,0.0,0.2,0.02,0.66
1690920844.449562,0.04,0.0,0.12,0.0,0.17,0.01,0.66
1690920844.663078,0.06,0.0,0.05,0.0,0.15,0.05,0.68
1690920844.853604,0.06,0.0,0.04,0.0,0.12,0.04,0.73
