timestamps,TP9,AF7,AF8,TP10,Right AUX
1691171862.988,0.000,-498.047,-19.531,-182.129,0.000
1691171862.991,0.000,-1000.000,-32.227,-179.199,0.000
1691171862.995,0.000,-375.977,-15.137,-146.484,0.000
1691171862.999,0.000,336.426,-3.906,-125.488,0.000
1691171863.003,-122.070,-361.328,-6.836,-115.723,0.000
1691171863.007,-121.582,-1000.000,-8.301,-103.516,0.000
1691171863.011,-97.168,-579.102,-12.695,-82.520,0.000
1691171863.015,-74.707,318.848,-25.391,-66.406,0.000
1691171863.019,-60.547,-172.363,-25.879,-82.031,0.000
1691171863.023,-65.918,-1000.000,-18.066,-87.891,0.000
1691171863.027,-86.914,-939.941,-17.578,-69.824,0.000
1691171863.031,-59.570,-100.098,-15.625,-45.898,0.000
1691171863.034,-42.480,9.277,-23.926,-43.945,0.000
1691171863.038,-42.480,-892.090,-32.227,-46.387,0.000
1691171863.042,-26.367,-979.492,-26.855,-42.480,0.000
1691171863.046,10.254,16.602,-20.508,-22.461,0.000
1691171863.050,-30.273,246.094,-31.738,-23.926,0.000
1691171863.054,-50.781,-776.367,-39.551,-42.969,0.000
1691171863.058,-23.438,-1000.000,-32.715,-42.480,0.000
1691171863.062,-24.414,-273.926,-32.227,-14.160,0.000
1691171863.066,-19.531,229.492,-39.062,-6.836,0.000
1691171863.070,-36.133,-617.188,-38.086,-48.340,0.000
1691171863.074,-51.270,-1000.000,-40.527,-62.500,0.000
1691171863.077,-30.273,-694.824,-30.762,-23.438,0.000
1691171863.081,-0.977,-208.984,-20.020,0.000,0.000
1691171863.085,-14.648,-677.734,-33.691,-18.066,0.000
1691171863.089,-40.039,-945.312,-42.969,-43.457,0.000
1691171863.093,-26.367,-672.852,-39.062,-28.809,0.000
1691171863.097,-16.602,-42.480,-30.762,-11.719,0.000
1691171863.101,-29.785,14.160,-28.320,-32.715,0.000
1691171863.105,-39.551,-635.254,-34.180,-53.711,0.000
1691171863.109,-53.711,-937.012,-30.762,-32.715,0.000
1691171863.113,-10.742,-396.973,-22.461,15.625,0.000
1691171863.117,4.395,-93.750,-28.320,-5.371,0.000
1691171863.120,-51.758,-748.047,-34.668,-65.918,0.000
1691171863.124,-69.336,-1000.000,-25.391,-86.914,0.000
1691171863.128,-60.059,-960.449,-20.020,-49.805,0.000
1691171863.132,-66.895,-431.152,-21.484,-34.668,0.000
